M,b,h,c,Izz,sxx
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,100,3.33333E-08,300000
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
1,5.00E-02,2.00E-02,0.01,3.33333E-08,0.3
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.04,3.33333E-08,120
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.025,3.33333E-08,75
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,2.08333E-07,4.8
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.04,5.20833E-07,7.68
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30000
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30000
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
100,5.00E-02,2.00E-02,0.01,3.33333E-08,30
